stadium_id,lat,lon,timezone,is_weather_relevant
metlife,40.813611,-74.074444,America/New_York,true
sofi,33.95345,-118.3392,America/Los_Angeles,false
mtbank,39.278056,-76.622778,America/New_York,true
lincoln,39.900833,-75.1675,America/New_York,true
rayjay,27.975833,-82.503333,America/New_York,true
ford,42.34,-83.0456,America/Detroit,false
milehigh,39.743889,-105.02,America/Denver,true
levis,37.403,-121.97,America/Los_Angeles,true
lumen,47.5952,-122.3316,America/Los_Angeles,true
allegiant,36.090833,-115.183611,America/Los_Angeles,false
gillette,42.090944,-71.264344,America/New_York,true
statefarm,33.5275,-112.2625,America/Phoenix,true
soldier,41.8623,-87.6167,America/Chicago,true
paycor,39.095,-84.516,America/New_York,true
boa,35.225833,-80.852778,America/New_York,true
att,32.747778,-97.092778,America/Chicago,true
lambeau,44.501389,-88.062222,America/Chicago,true
acrisure,40.446667,-80.015833,America/New_York,true
superdome,29.950833,-90.081111,America/Chicago,false
highmark_new,42.7684,-78.7865,America/New_York,true
usbank,44.973889,-93.258056,America/Chicago,false
lucasoil,39.760056,-86.163806,America/Indiana/Indianapolis,true
mbstadium,33.755,-84.401,America/New_York,true
huntington,41.506111,-81.699444,America/New_York,true
hardrock,25.958056,-80.238889,America/New_York,true
nissan,36.166389,-86.771389,America/Chicago,true
northwest,38.907778,-76.864444,America/New_York,true
everbank,30.323889,-81.6375,America/New_York,true
arrowhead,39.048889,-94.483889,America/Chicago,true
nrg,29.684722,-95.410833,America/Chicago,true
tottenham,51.604444,-0.066389,Europe/London,true
wembley,51.555833,-0.279722,Europe/London,true
highmark_old,42.7738,-78.787,America/New_York,true
hof,40.8203,-81.3978,America/New_York,true
corinthians,-23.545278,-46.474167,America/Sao_Paulo,true
bernabeu,40.453056,-3.688333,Europe/Madrid,true
frankfurt,50.068611,8.645278,Europe/Berlin,true
croke,53.360833,-6.251667,Europe/Dublin,true
stadefrance,48.924444,2.360139,Europe/Paris,true
allianz,48.218889,11.624722,Europe/Berlin,true
mcg,-37.819722,144.983333,Australia/Melbourne,true
banorte,25.669167,-100.244444,America/Monterrey,true
maracana,-22.912167,-43.230167,America/Sao_Paulo,true
olympiaberlin,52.514722,13.239444,Europe/Berlin,true
